model,scenario,n_steps,mean_crps,mean_rel_crps,cov_90,cov_90_err,cov_50,mean_width_90,mean_rel_width_90,mean_mae,mean_rel_mae,pit_ks_stat,pit_ks_pvalue
chronos-tiny,synth_REGIME_L2,400,3.2419297894811323,5.346962090390214,0.735,0.16500000000000004,0.4275,11.37623771238327,17.447307090606316,4.0690023495519645,6.735303914942935,0.14749963325091142,4.6394000611483764e-08
chronos-tiny,synth_REGIME_L3,400,2.392222403909867,3.8161781843166547,0.755,0.14500000000000002,0.3725,11.029662879705427,15.762499195456604,3.3369142074094382,5.308632834553105,0.20499927175492394,3.227291426773974e-15
chronos-tiny,synth_REGIME_L4,400,2.672937077294589,4.614374461946875,0.6525,0.24750000000000005,0.3825,10.402153597712516,17.485365240080167,3.5404578947996566,6.148318060477611,0.17999903764392333,8.231806374715156e-12
chronos-tiny,synth_REGIME_L5,400,3.432636289774271,4.890032629454748,0.7325,0.16749999999999998,0.3975,12.788806938886642,19.284060738915738,4.777542963309063,6.8093315247980755,0.12499961532888626,6.607808494280386e-06
chronos-tiny,synth_TAIL_L1,400,1.8870514959568394,1.7406021171335164,0.895,0.0050000000000000044,0.54,10.540647478103638,10.165665383082997,2.581940024331737,2.380569895270044,0.13499946123004714,8.080242407589557e-07
chronos-tiny,synth_TAIL_L2,400,1.4967668162506653,1.5320115642164396,0.87,0.030000000000000027,0.5225,9.57057616662979,9.755973782813214,2.0820959493308013,2.1573269966779005,0.037499189489640816,0.6134819703128951
chronos-tiny,synth_TAIL_L3,400,1.903782874105538,1.9587114278210946,0.825,0.07500000000000007,0.3775,9.437699331283568,9.777689218804323,2.718467831740613,2.7728926145073256,0.11749901844689781,2.8709746024989145e-05
chronos-tiny,synth_TAIL_L4,400,1.5208434164056954,1.3604467286535424,0.925,0.025000000000000022,0.485,9.20761931800842,8.552465757548896,2.1570965337320853,1.9317974206454993,0.07749936059939483,0.015494374797856337
chronos-tiny,synth_TAIL_L5,400,2.4444288062960453,2.2745635526293144,0.7925,0.10750000000000004,0.4075,7.597495161056518,7.420814200201498,3.102518612230766,2.8962214955186116,0.09499925450222321,0.0013593436680779051
garch_t,market_rolling,600,1426.0630020222645,5.091342235274109,0.7233333333333334,0.17666666666666664,0.3516666666666667,6703.649968858798,20.966262282450945,1986.1978810402672,7.1332610532775815,0.17499929662504077,1.5320568229788838e-16
garch_t,market_snap,20,10.020672078456773,3.025431553077987,0.9,0.0,0.35,46.35658735986868,14.1364464167636,15.34525435358493,4.633953668897102,0.5700002127620998,1.1292605541541528e-06
